order_id,customer_id,restaurant_id,payment_id,order_date,order_status
59,402,16,59,2024-03-03,Out for Delivery
60,49,4,60,2024-02-18,Delivered
61,217,14,61,2024-03-31,Delivered
62,345,4,62,2024-01-14,Delivered
63,410,4,63,2024-03-27,Delivered
64,275,15,64,2024-02-18,Delivered
65,143,15,65,2024-02-16,Delivered
66,227,18,66,2024-01-20,Delivered
67,277,1,67,2024-06-15,Cancelled
68,86,14,68,2024-03-01,Delivered
69,443,13,69,2024-02-24,Out for Delivery
70,195,1,70,2024-02-12,Cancelled
71,475,15,71,2024-03-08,Delivered
72,491,18,72,2024-06-27,Delivered
73,80,7,73,2024-05-04,Delivered
74,297,18,74,2024-01-15,Delivered
75,30,2,75,2024-03-21,Delivered
76,471,17,76,2024-05-08,Delivered
77,42,6,77,2024-05-10,Delivered
78,346,8,78,2024-01-18,Delivered
79,127,19,79,2024-05-25,Delivered
80,42,14,80,2024-06-07,Delivered
81,268,11,81,2024-05-24,Out for Delivery
82,343,11,82,2024-02-22,Delivered
83,68,10,83,2024-04-11,Delivered
84,5,15,84,2024-01-19,Delivered
85,52,3,85,2024-05-24,Delivered
86,136,5,86,2024-05-09,Out for Delivery
87,451,8,87,2024-01-18,Delivered
88,225,18,88,2024-02-10,Preparing
89,414,17,89,2024-06-05,Delivered
90,154,4,90,2024-05-21,Out for Delivery
91,136,4,91,2024-02-04,Out for Delivery
92,80,9,92,2024-05-21,Delivered
93,368,11,93,2024-02-23,Delivered
94,437,9,94,2024-06-11,Delivered
95,464,2,95,2024-03-05,Delivered
96,425,9,96,2024-04-18,Delivered
97,395,5,97,2024-03-26,Delivered
98,83,15,98,2024-03-08,Delivered
99,288,1,99,2024-04-19,Delivered
100,463,5,100,2024-06-25,Delivered
101,299,18,101,2024-04-04,Delivered
102,22,10,102,2024-02-02,Delivered
103,461,12,103,2024-01-11,Delivered
104,342,4,104,2024-03-04,Delivered
105,453,14,105,2024-05-23,Cancelled
106,474,8,106,2024-02-09,Out for Delivery
107,452,14,107,2024-02-15,Delivered
108,401,14,108,2024-03-26,Out for Delivery
109,137,6,109,2024-03-04,Preparing
110,196,2,110,2024-01-28,Out for Delivery
111,103,15,111,2024-02-26,Delivered
112,115,1,112,2024-02-28,Delivered
113,169,9,113,2024-04-12,Out for Delivery
114,180,17,114,2024-03-12,Delivered
115,170,1,115,2024-05-17,Delivered
116,92,19,116,2024-03-07,Cancelled
117,20,4,117,2024-03-08,Delivered
118,374,11,118,2024-03-29,Delivered
119,60,13,119,2024-05-10,Out for Delivery
120,131,2,120,2024-02-18,Preparing
121,267,18,121,2024-01-01,Delivered
122,101,12,122,2024-06-20,Delivered
123,472,11,123,2024-06-19,Delivered
124,435,4,124,2024-06-18,Preparing
125,260,10,125,2024-03-17,Delivered
126,207,10,126,2024-03-24,Delivered
127,216,13,127,2024-02-19,Delivered
128,316,19,128,2024-02-14,Delivered
129,427,1,129,2024-05-20,Delivered
130,221,19,130,2024-02-23,Delivered
131,239,15,131,2024-03-23,Delivered
132,262,16,132,2024-02-24,Preparing
133,338,3,133,2024-02-13,Delivered
134,325,20,134,2024-06-18,Delivered
135,345,10,135,2024-03-01,Delivered
136,76,1,136,2024-02-20,Delivered
137,313,3,137,2024-05-01,Delivered
138,295,7,138,2024-06-10,Preparing
139,254,13,139,2024-04-08,Delivered
140,353,1,140,2024-06-16,Out for Delivery
141,399,14,141,2024-01-28,Delivered
142,266,15,142,2024-06-27,Delivered
143,470,4,143,2024-03-04,Delivered
144,342,17,144,2024-04-28,Cancelled
145,163,15,145,2024-06-01,Delivered
146,219,18,146,2024-05-09,Delivered
147,381,16,147,2024-02-10,Delivered
148,431,9,148,2024-03-04,Preparing
149,249,8,149,2024-05-13,Delivered
150,366,10,150,2024-01-20,Delivered
151,164,18,151,2024-03-26,Delivered
152,119,13,152,2024-02-08,Delivered
153,110,3,153,2024-06-29,Delivered
154,278,15,154,2024-03-25,Delivered
155,427,14,155,2024-02-22,Delivered
156,485,1,156,2024-05-29,Out for Delivery
157,195,16,157,2024-05-27,Delivered
158,153,13,158,2024-03-31,Out for Delivery
159,276,18,159,2024-04-17,Preparing
160,250,8,160,2024-02-26,Delivered
161,15,13,161,2024-05-04,Delivered
162,409,13,162,2024-06-22,Preparing
163,471,5,163,2024-04-29,Cancelled
164,14,13,164,2024-05-16,Delivered
165,14,3,165,2024-06-18,Delivered
166,444,15,166,2024-02-04,Delivered
167,195,11,167,2024-03-07,Delivered
168,173,13,168,2024-03-24,Delivered
169,130,3,169,2024-04-17,Delivered
170,27,12,170,2024-05-18,Delivered
171,400,2,171,2024-01-18,Preparing
172,103,1,172,2024-03-04,Delivered
173,65,16,173,2024-03-02,Delivered
174,486,7,174,2024-05-24,Delivered
175,393,12,175,2024-03-06,Delivered
176,494,4,176,2024-06-04,Preparing
177,494,10,177,2024-02-11,Delivered
178,476,10,178,2024-01-07,Delivered
179,204,7,179,2024-04-06,Delivered
180,426,8,180,2024-06-25,Delivered
181,436,20,181,2024-03-18,Out for Delivery
182,401,2,182,2024-05-24,Delivered
183,339,12,183,2024-04-19,Delivered
184,175,1,184,2024-06-14,Out for Delivery
185,55,14,185,2024-05-05,Cancelled
186,457,15,186,2024-06-11,Preparing
187,91,17,187,2024-04-21,Cancelled
188,316,18,188,2024-03-10,Preparing
189,224,19,189,2024-04-29,Delivered
190,426,3,190,2024-03-03,Delivered
191,125,15,191,2024-04-25,Delivered
192,195,11,192,2024-06-20,Delivered
193,94,16,193,2024-03-24,Delivered
194,175,9,194,2024-03-07,Out for Delivery
195,451,9,195,2024-06-28,Delivered
196,486,7,196,2024-05-12,Delivered
197,251,18,197,2024-04-14,Preparing
198,244,16,198,2024-06-25,Delivered
199,48,10,199,2024-01-05,Delivered
200,125,10,200,2024-06-26,Delivered
201,243,18,201,2024-04-04,Delivered
202,382,18,202,2024-04-18,Delivered
203,233,9,203,2024-06-28,Delivered
204,62,7,204,2024-02-29,Delivered
205,487,6,205,2024-05-17,Delivered
206,142,19,206,2024-05-03,Cancelled
207,306,10,207,2024-05-14,Cancelled
208,152,8,208,2024-02-19,Delivered
209,8,18,209,2024-03-18,Delivered
210,499,2,210,2024-01-12,Delivered
211,484,5,211,2024-06-27,Delivered
212,53,1,212,2024-05-05,Delivered
213,246,15,213,2024-04-30,Delivered
214,130,16,214,2024-01-14,Delivered
215,206,16,215,2024-01-17,Delivered
216,352,2,216,2024-06-10,Delivered
217,486,10,217,2024-05-24,Delivered
218,61,18,218,2024-03-04,Preparing
219,306,20,219,2024-06-04,Delivered
220,195,15,220,2024-05-13,Out for Delivery
221,441,19,221,2024-03-17,Cancelled
222,292,20,222,2024-03-19,Delivered
223,486,7,223,2024-01-26,Delivered
224,339,3,224,2024-03-08,Delivered
225,283,3,225,2024-02-14,Delivered
226,231,20,226,2024-04-14,Delivered
227,119,10,227,2024-01-09,Preparing
228,441,15,228,2024-06-28,Delivered
229,474,9,229,2024-02-29,Preparing
230,302,7,230,2024-06-09,Delivered
231,116,5,231,2024-05-19,Out for Delivery
232,37,2,232,2024-02-06,Delivered
233,305,19,233,2024-03-19,Out for Delivery
234,64,15,234,2024-04-22,Delivered
235,207,9,235,2024-06-28,Delivered
236,225,3,236,2024-05-06,Delivered
237,377,11,237,2024-04-20,Delivered
238,47,8,238,2024-01-07,Cancelled
239,301,1,239,2024-05-27,Cancelled
240,421,9,240,2024-06-21,Delivered
241,241,17,241,2024-02-14,Delivered
242,93,19,242,2024-03-12,Delivered
243,497,3,243,2024-05-05,Delivered
244,171,11,244,2024-04-14,Delivered
245,169,14,245,2024-02-11,Delivered
246,340,13,246,2024-03-14,Out for Delivery
247,19,15,247,2024-05-20,Delivered
248,166,4,248,2024-03-05,Cancelled
249,443,17,249,2024-04-13,Out for Delivery
250,337,18,250,2024-01-01,Delivered
251,97,17,251,2024-01-14,Delivered
252,321,15,252,2024-05-07,Preparing
253,137,18,253,2024-02-22,Delivered
254,225,16,254,2024-03-14,Delivered
255,312,8,255,2024-06-10,Preparing
256,283,1,256,2024-03-20,Delivered
257,116,4,257,2024-01-24,Delivered
258,332,5,258,2024-01-31,Delivered
259,261,9,259,2024-03-15,Delivered
260,242,8,260,2024-05-03,Delivered
261,197,7,261,2024-02-07,Out for Delivery
262,383,5,262,2024-05-10,Out for Delivery
263,396,14,263,2024-03-11,Delivered
264,137,1,264,2024-05-09,Delivered
265,429,19,265,2024-03-17,Delivered
266,251,5,266,2024-06-17,Delivered
267,177,11,267,2024-05-03,Delivered
268,194,15,268,2024-05-19,Out for Delivery
269,358,8,269,2024-02-18,Delivered
270,439,14,270,2024-02-29,Delivered
271,362,13,271,2024-05-01,Delivered
272,406,5,272,2024-06-18,Delivered
273,65,17,273,2024-01-10,Cancelled
274,446,4,274,2024-03-25,Out for Delivery
275,52,17,275,2024-04-22,Out for Delivery
276,370,5,276,2024-01-04,Delivered
277,497,5,277,2024-06-16,Delivered
278,174,20,278,2024-03-08,Delivered
279,42,11,279,2024-06-15,Out for Delivery
280,195,11,280,2024-05-16,Delivered
281,447,18,281,2024-05-04,Delivered
282,121,10,282,2024-01-18,Cancelled
283,223,4,283,2024-01-24,Preparing
284,447,4,284,2024-06-29,Delivered
285,154,1,285,2024-06-26,Delivered
286,151,12,286,2024-01-15,Delivered
287,126,17,287,2024-02-07,Delivered
288,406,6,288,2024-06-23,Delivered
289,313,13,289,2024-01-21,Delivered
290,255,19,290,2024-03-02,Delivered
291,327,9,291,2024-04-28,Delivered
292,5,15,292,2024-06-19,Out for Delivery
293,280,6,293,2024-06-22,Delivered
294,301,10,294,2024-03-29,Delivered
295,354,9,295,2024-04-18,Delivered
296,102,13,296,2024-03-18,Out for Delivery
297,122,13,297,2024-01-28,Delivered
298,152,10,298,2024-05-27,Delivered
299,203,9,299,2024-06-17,Delivered
300,399,2,300,2024-06-24,Out for Delivery
301,427,10,301,2024-05-07,Preparing
302,311,12,302,2024-02-28,Delivered
303,318,9,303,2024-02-18,Delivered
304,349,5,304,2024-06-17,Delivered
305,331,2,305,2024-06-09,Delivered
306,18,19,306,2024-04-22,Delivered
307,47,10,307,2024-02-03,Delivered
308,90,7,308,2024-04-16,Delivered
309,449,12,309,2024-05-18,Delivered
310,426,6,310,2024-03-10,Delivered
311,496,10,311,2024-05-03,Preparing
312,412,4,312,2024-03-27,Delivered
313,73,8,313,2024-01-20,Out for Delivery
314,204,18,314,2024-06-21,Delivered
315,8,9,315,2024-04-11,Delivered
316,189,9,316,2024-04-26,Delivered
317,482,12,317,2024-06-12,Delivered
318,242,1,318,2024-02-29,Delivered
319,168,20,319,2024-05-23,Delivered
320,326,15,320,2024-01-17,Out for Delivery
321,333,14,321,2024-03-18,Delivered
322,485,2,322,2024-01-12,Delivered
323,60,4,323,2024-05-06,Delivered
324,70,13,324,2024-05-17,Delivered
325,487,18,325,2024-06-20,Delivered
326,454,14,326,2024-02-09,Delivered
327,316,14,327,2024-05-05,Out for Delivery
328,17,12,328,2024-03-12,Delivered
329,487,8,329,2024-04-23,Out for Delivery
330,352,12,330,2024-01-26,Delivered
331,184,2,331,2024-06-14,Delivered
332,496,4,332,2024-02-18,Out for Delivery
333,47,7,333,2024-04-26,Delivered
334,498,1,334,2024-06-01,Delivered
335,125,5,335,2024-03-26,Preparing
336,36,18,336,2024-02-22,Delivered
337,417,8,337,2024-02-25,Delivered
338,404,20,338,2024-02-07,Delivered
339,67,18,339,2024-02-07,Delivered
340,57,1,340,2024-02-14,Delivered
341,405,8,341,2024-04-01,Delivered
342,90,9,342,2024-01-05,Delivered
343,270,4,343,2024-04-17,Preparing
344,230,12,344,2024-05-01,Delivered
345,232,17,345,2024-01-28,Delivered
346,23,17,346,2024-06-06,Delivered
347,494,1,347,2024-06-13,Delivered
348,434,13,348,2024-05-02,Delivered
349,252,15,349,2024-01-28,Delivered
350,165,20,350,2024-01-21,Delivered
351,141,20,351,2024-02-02,Delivered
352,365,11,352,2024-05-20,Delivered
353,272,10,353,2024-06-01,Delivered
354,221,4,354,2024-06-03,Preparing
355,437,18,355,2024-01-30,Preparing
356,221,15,356,2024-02-25,Out for Delivery
357,174,15,357,2024-04-15,Delivered
358,161,14,358,2024-01-25,Delivered
359,192,5,359,2024-03-06,Delivered
360,35,3,360,2024-05-01,Out for Delivery
361,222,4,361,2024-01-24,Preparing
362,416,5,362,2024-04-05,Delivered
363,490,18,363,2024-05-30,Delivered
364,63,14,364,2024-06-20,Delivered
365,482,14,365,2024-06-19,Out for Delivery
366,496,10,366,2024-01-14,Delivered
367,54,19,367,2024-03-31,Delivered
368,337,16,368,2024-02-09,Delivered
369,180,18,369,2024-01-28,Delivered
370,294,8,370,2024-03-12,Out for Delivery
371,499,20,371,2024-05-23,Delivered
372,286,1,372,2024-06-13,Delivered
373,425,9,373,2024-06-17,Delivered
374,360,10,374,2024-03-10,Out for Delivery
375,4,6,375,2024-03-30,Out for Delivery
376,337,13,376,2024-05-24,Delivered
377,498,1,377,2024-06-11,Delivered
378,111,13,378,2024-05-15,Delivered
379,81,12,379,2024-03-28,Delivered
380,398,19,380,2024-03-24,Delivered
381,80,6,381,2024-01-14,Preparing
382,346,3,382,2024-01-13,Delivered
383,218,16,383,2024-06-18,Delivered
384,140,7,384,2024-04-16,Preparing
385,177,14,385,2024-01-30,Delivered
386,348,19,386,2024-06-22,Delivered
387,158,2,387,2024-06-19,Delivered
388,29,1,388,2024-06-02,Delivered
389,393,5,389,2024-02-24,Preparing
390,168,4,390,2024-03-15,Delivered
391,90,5,391,2024-04-20,Delivered
392,118,17,392,2024-06-29,Delivered
393,413,12,393,2024-06-20,Delivered
394,224,1,394,2024-01-11,Delivered
395,442,11,395,2024-01-20,Delivered
396,208,14,396,2024-05-26,Delivered
397,11,11,397,2024-04-13,Delivered
398,236,12,398,2024-06-07,Delivered
399,125,14,399,2024-01-28,Delivered
400,41,13,400,2024-05-14,Out for Delivery
401,114,11,401,2024-03-27,Preparing
402,262,4,402,2024-01-20,Delivered
403,464,12,403,2024-02-19,Delivered
404,418,5,404,2024-06-14,Delivered
405,132,7,405,2024-02-07,Delivered
406,390,3,406,2024-02-09,Delivered
407,253,15,407,2024-06-09,Preparing
408,230,19,408,2024-05-28,Delivered
409,166,11,409,2024-06-08,Delivered
410,241,15,410,2024-01-18,Delivered
411,303,2,411,2024-03-11,Delivered
412,159,15,412,2024-01-19,Delivered
413,189,10,413,2024-01-15,Delivered
414,315,20,414,2024-01-24,Delivered
415,298,18,415,2024-04-28,Cancelled
416,231,19,416,2024-01-11,Delivered
417,310,16,417,2024-03-23,Delivered
418,231,4,418,2024-01-16,Out for Delivery
419,366,3,419,2024-03-28,Delivered
420,21,8,420,2024-02-14,Preparing
421,269,17,421,2024-04-22,Delivered
422,191,10,422,2024-04-03,Delivered
423,348,20,423,2024-03-27,Delivered
424,332,11,424,2024-06-10,Delivered
425,286,13,425,2024-01-25,Delivered
426,494,20,426,2024-06-17,Out for Delivery
427,42,19,427,2024-03-26,Delivered
428,159,13,428,2024-03-30,Delivered
429,481,3,429,2024-06-30,Delivered
430,330,11,430,2024-04-06,Out for Delivery
431,360,17,431,2024-06-20,Delivered
432,217,17,432,2024-06-20,Delivered
433,159,6,433,2024-04-02,Cancelled
434,486,16,434,2024-03-28,Delivered
435,80,3,435,2024-02-05,Delivered
436,260,18,436,2024-01-26,Out for Delivery
437,20,11,437,2024-05-14,Out for Delivery
438,68,20,438,2024-06-07,Delivered
439,93,20,439,2024-02-11,Out for Delivery
440,370,15,440,2024-02-12,Delivered
441,347,8,441,2024-04-03,Cancelled
442,146,15,442,2024-06-05,Delivered
443,159,16,443,2024-03-02,Out for Delivery
444,189,19,444,2024-02-19,Cancelled
445,394,10,445,2024-04-28,Preparing
446,271,14,446,2024-05-08,Cancelled
447,411,20,447,2024-02-21,Delivered
448,27,16,448,2024-03-05,Out for Delivery
449,479,4,449,2024-05-21,Preparing
450,436,4,450,2024-05-12,Delivered
451,140,15,451,2024-02-11,Out for Delivery
452,426,14,452,2024-02-07,Delivered
453,419,15,453,2024-02-26,Out for Delivery
454,213,2,454,2024-01-07,Delivered
455,121,13,455,2024-04-05,Cancelled
456,115,1,456,2024-04-05,Delivered
457,430,11,457,2024-01-26,Preparing
458,20,10,458,2024-02-05,Out for Delivery
459,357,5,459,2024-04-30,Preparing
460,230,20,460,2024-04-30,Delivered
461,10,9,461,2024-01-21,Delivered
462,281,20,462,2024-02-08,Delivered
463,398,10,463,2024-01-29,Delivered
464,25,8,464,2024-02-01,Delivered
465,235,3,465,2024-06-08,Delivered
466,306,18,466,2024-05-07,Delivered
467,295,8,467,2024-05-11,Preparing
468,220,1,468,2024-03-15,Delivered
469,293,14,469,2024-03-02,Delivered
470,44,17,470,2024-06-20,Cancelled
471,489,17,471,2024-01-18,Delivered
472,284,1,472,2024-05-09,Delivered
473,23,13,473,2024-04-30,Cancelled
474,383,1,474,2024-03-05,Delivered
475,177,8,475,2024-01-18,Preparing
476,54,19,476,2024-06-09,Preparing
477,69,2,477,2024-03-26,Delivered
478,417,6,478,2024-03-27,Out for Delivery
479,238,16,479,2024-06-24,Delivered
480,33,15,480,2024-02-04,Delivered
481,23,7,481,2024-02-21,Out for Delivery
482,478,10,482,2024-03-21,Delivered
483,243,9,483,2024-05-19,Delivered
484,98,10,484,2024-06-14,Delivered
485,444,11,485,2024-01-13,Delivered
486,224,13,486,2024-04-04,Preparing
487,174,6,487,2024-04-08,Delivered
488,189,17,488,2024-05-07,Delivered
489,373,14,489,2024-01-22,Delivered
490,422,6,490,2024-06-03,Delivered
491,53,3,491,2024-03-23,Delivered
492,157,15,492,2024-03-16,Delivered
493,86,15,493,2024-04-19,Delivered
494,373,12,494,2024-01-11,Delivered
495,141,2,495,2024-04-21,Delivered
496,208,12,496,2024-06-12,Delivered
497,82,1,497,2024-06-22,Delivered
498,348,15,498,2024-06-04,Delivered
499,121,12,499,2024-01-18,Delivered
500,17,20,500,2024-05-25,Delivered
